Date,Eonia,Euribor1M,Euribor3M,Euribor6M,EUR1Y,EUR5Y,EUR10Y,EUR20Y,EUR30Y,LIBORON,LIBOR1M,LIBOR3M,LIBOR6M,UST1Y,UST5Y,UST10Y,UST20Y,UST30Y
2005-01-03,2.09,2.125,2.154,2.209,2.239782,2.9934119999999997,3.66184,4.2618730000000005,4.493401,2.11125,2.12375,2.153,2.20675,2.79,3.64,4.23,4.84,4.85
2005-01-04,2.09,2.123,2.151,2.21,2.231982,3.034202,3.6683230000000004,4.236022,4.458392,2.1,2.11813,2.14813,2.20613,2.82,3.72,4.29,4.91,4.91
2005-01-05,2.08,2.116,2.151,2.208,2.248179,3.0645130000000003,3.695968,4.254532,4.4722480000000004,2.09719,2.11388,2.14688,2.20475,2.83,3.73,4.29,4.88,4.88
2005-01-06,2.08,2.116,2.15,2.207,2.207488,2.998407,3.6525540000000003,4.210780000000001,4.421138,2.09563,2.11388,2.14875,2.20338,2.82,3.71,4.29,4.88,4.89
2005-01-07,2.08,2.114,2.146,2.193,2.1878889999999998,2.967263,3.62111,4.179653,4.389998,2.09625,2.113,2.14638,2.19125,2.82,3.73,4.29,4.88,4.88
2005-01-10,2.09,2.114,2.146,2.198,2.179831,2.968441,3.621085,4.175479,4.383808,2.10625,2.113,2.1445,2.19631,2.86,3.75,4.29,4.86,4.86
2005-01-11,2.09,2.115,2.146,2.194,2.204538,2.9763599999999997,3.615339,4.159338,4.363969,2.10219,2.11563,2.1445,2.19519,2.86,3.73,4.26,4.83,4.84
2005-01-12,2.08,2.113,2.145,2.199,2.206971,2.984051,3.62426,4.168654,4.373382,2.09844,2.10913,2.14438,2.19769,2.84,3.72,4.25,4.81,4.8
2005-01-13,1.98,2.107,2.144,2.201,2.1747349999999996,2.936373,3.588908,4.135713,4.339242,2.00344,2.10588,2.14488,2.20088,2.84,3.68,4.2,4.75,4.77
2005-01-14,1.97,2.106,2.144,2.187,2.185829,2.945857,3.5805480000000003,4.107526999999999,4.302932,1.98969,2.1045,2.143,2.184,2.87,3.71,4.23,4.76,4.78
2005-01-17,2.12,2.11,2.143,2.183,2.1766810000000003,2.925319,3.5555519999999996,4.080063,4.274681,2.16469,2.11,2.1435,2.18263,2.87,3.71,4.23,4.76,4.78
2005-01-18,2.14,2.109,2.144,2.185,2.189711,2.9501310000000003,3.571272,4.081153,4.269279,2.11719,2.10925,2.14425,2.18719,2.9,3.72,4.21,4.73,4.72
2005-01-19,2.08,2.107,2.143,2.184,2.182498,2.927043,3.5325309999999996,4.018001,4.194969,2.09875,2.10838,2.1435,2.18222,2.88,3.73,4.2,4.71,4.7
2005-01-20,2.08,2.108,2.144,2.186,2.1999720000000003,2.968481,3.580961,4.078302,4.260955,2.095,2.10788,2.143,2.187,2.85,3.68,4.17,4.7,4.71
2005-01-21,2.08,2.107,2.143,2.188,2.193425,2.965278,3.589843,4.093307,4.277387,2.09419,2.10713,2.1435,2.19,2.83,3.65,4.16,4.69,4.7
2005-01-24,2.08,2.107,2.143,2.184,2.176315,2.933447,3.5596660000000004,4.067444999999999,4.253457,2.095,2.10713,2.141,2.18175,2.86,3.65,4.14,4.65,4.63
2005-01-25,2.08,2.107,2.144,2.181,2.168878,2.920556,3.5323480000000003,4.014135,4.188236,2.0925,2.10775,2.14238,2.17998,2.88,3.71,4.2,4.72,4.71
2005-01-26,2.08,2.107,2.143,2.181,2.183268,2.963987,3.5730760000000004,4.044567,4.213838,2.09188,2.10713,2.13975,2.18059,2.9,3.73,4.21,4.72,4.7
2005-01-27,2.08,2.107,2.144,2.186,2.204153,3.001752,3.599677,4.063415,4.230298,2.09313,2.10713,2.14113,2.18763,2.91,3.75,4.22,4.73,4.71
2005-01-28,2.08,2.106,2.144,2.185,2.182772,2.9474169999999997,3.5568809999999997,4.040412,4.2158739999999995,2.0925,2.10638,2.14175,2.18469,2.89,3.69,4.16,4.66,4.64
2005-01-31,2.09,2.107,2.142,2.183,2.188622,2.9526,3.5559160000000003,4.033802,4.207112,2.11,2.10775,2.139,2.17913,2.96,3.71,4.14,4.64,4.62
2005-02-01,2.07,2.106,2.142,2.183,2.180269,2.953251,3.555893,4.03331,4.206563,2.08938,2.10513,2.14025,2.17938,2.95,3.71,4.15,4.65,4.63
2005-02-02,2.01,2.104,2.141,2.181,2.192832,2.9518560000000003,3.537406,3.9976540000000003,4.164032,2.03031,2.10363,2.13856,2.17809,2.95,3.73,4.15,4.63,4.61
2005-02-03,2.05,2.105,2.144,2.192,2.210693,2.986255,3.554661,3.9779419999999996,4.127268,2.06656,2.105,2.14194,2.19063,2.96,3.76,4.18,4.64,4.58
2005-02-04,2.04,2.105,2.142,2.19,2.193969,2.946519,3.5066410000000006,3.927304,4.076074,2.06531,2.10375,2.14025,2.19,2.93,3.68,4.09,4.54,4.48
2005-02-07,2.03,2.105,2.142,2.184,2.200515,2.945409,3.4795760000000002,3.875118,4.014162000000001,2.06781,2.105,2.1405,2.1845,2.96,3.67,4.07,4.49,4.43
2005-02-08,2.07,2.105,2.141,2.189,2.21843,2.955995,3.481878,3.889848,4.036957,2.0825,2.1025,2.13981,2.1875,2.97,3.68,4.05,4.46,4.39
2005-02-09,2.07,2.105,2.142,2.181,2.196484,2.918918,3.4465980000000003,3.845677,3.9871489999999996,2.08375,2.10313,2.139,2.17856,2.93,3.58,4.0,4.43,4.4
2005-02-10,2.07,2.105,2.14,2.176,2.181324,2.894823,3.435463,3.8490949999999997,3.996316,2.08375,2.10313,2.13719,2.17466,2.96,3.65,4.07,4.52,4.5
2005-02-11,2.07,2.104,2.14,2.174,2.179056,2.904452,3.4682989999999996,3.90371,4.059284,2.0825,2.10113,2.13875,2.17331,3.0,3.7,4.1,4.55,4.52
2005-02-14,2.07,2.104,2.139,2.175,2.193053,2.934796,3.4978230000000003,3.930871,4.085428,2.0825,2.103,2.13838,2.176,3.03,3.7,4.08,4.51,4.45
2005-02-15,2.07,2.105,2.136,2.178,2.2042889999999997,2.9537139999999997,3.5052199999999996,3.9354080000000002,4.090387000000001,2.08375,2.10313,2.13481,2.17694,3.03,3.71,4.1,4.55,4.48
2005-02-16,2.06,2.104,2.135,2.178,2.201119,2.930206,3.482918,3.9435569999999998,4.115953,2.0825,2.103,2.13281,2.17475,3.05,3.78,4.16,4.6,4.53
2005-02-17,2.06,2.103,2.135,2.182,2.219426,3.018536,3.5870660000000005,4.026614,4.184324,2.075,2.10225,2.13406,2.178,3.03,3.78,4.19,4.65,4.58
